company,company_tier,total_questions,easy_pct,medium_pct,hard_pct,avg_acceptance,median_acceptance,avg_frequency,median_frequency,avg_likes,avg_dislikes,top_category
mongodb,Tier_C,23,13.043478260869565,60.869565217391305,26.08695652173913,57.77826086956522,55.5,53.80434782608695,50.0,10806.863636363636,1439.7272727272727,Algorithms
morgan-stanley,Tier_B,55,23.636363636363637,65.45454545454545,10.909090909090908,57.74909090909092,59.2,49.31818181818182,50.0,13027.763636363636,1022.2181818181818,Algorithms
motive,Tier_C,10,20.0,70.0,10.0,54.6,54.099999999999994,48.75,50.0,9140.9,675.3,Algorithms
moveworks,Tier_C,6,0.0,50.0,50.0,53.26666666666667,52.45,81.25,87.5,6230.5,1121.1666666666667,Algorithms
mphasis,Tier_C,1,0.0,100.0,0.0,37.8,37.8,75.0,75.0,30717.0,1894.0,Algorithms
msci,Tier_C,1,0.0,100.0,0.0,72.6,72.6,50.0,50.0,20430.0,684.0,Algorithms
murex,Tier_C,1,100.0,0.0,0.0,56.8,56.8,87.5,87.5,33097.0,1278.0,Algorithms
mykaarma,Tier_C,1,0.0,0.0,100.0,37.1,37.1,25.0,25.0,5647.0,144.0,Algorithms
myntra,Tier_C,25,16.0,72.0,12.0,56.900000000000006,56.8,52.0,62.5,16892.6,1677.44,Algorithms
nagarro,Tier_C,8,50.0,50.0,0.0,59.575,65.19999999999999,50.0,37.5,14132.142857142857,903.0,Algorithms
nasdaq,Tier_C,1,100.0,0.0,0.0,56.8,56.8,87.5,87.5,33097.0,1278.0,Algorithms
national-instruments,Tier_C,1,0.0,100.0,0.0,37.3,37.3,12.5,12.5,2564.0,363.0,Algorithms
national-payments-coorperation-india,Tier_C,2,50.0,50.0,0.0,63.699999999999996,63.699999999999996,12.5,12.5,710.0,47.0,Algorithms
natwest,Tier_C,3,66.66666666666667,33.333333333333336,0.0,52.23333333333333,47.6,37.5,37.5,8068.666666666667,1737.3333333333333,Algorithms
navan,Tier_C,3,0.0,66.66666666666667,33.333333333333336,52.46666666666667,47.4,45.833333333333336,37.5,12279.0,1061.6666666666667,Algorithms
naver,Tier_C,1,100.0,0.0,0.0,57.5,57.5,100.0,100.0,61571.0,2223.0,Algorithms
navi,Tier_C,3,0.0,66.66666666666667,33.333333333333336,53.1,51.0,41.666666666666664,37.5,18949.666666666668,744.0,Algorithms
ncr,Tier_C,3,0.0,66.66666666666667,33.333333333333336,54.199999999999996,58.6,20.833333333333332,12.5,775.3333333333334,269.0,Algorithms
nerdwallet,Tier_C,1,100.0,0.0,0.0,67.7,67.7,37.5,37.5,2784.0,384.0,Database
netapp,Tier_C,9,22.22222222222222,77.77777777777777,0.0,55.78888888888889,56.8,54.166666666666664,50.0,17977.11111111111,1482.0,Algorithms
netcracker-technology,Tier_C,1,0.0,100.0,0.0,38.0,38.0,100.0,100.0,0.0,0.0,
netease,Tier_C,2,0.0,50.0,50.0,58.55,58.55,18.75,18.75,2569.5,228.5,Algorithms
netflix,Tier_B,31,22.580645161290324,64.51612903225806,12.903225806451612,52.725806451612904,51.1,52.41935483870968,62.5,11689.193548387097,1431.0645161290322,Algorithms
netskope,Tier_C,8,0.0,37.5,62.5,48.8,47.9,62.5,62.5,16599.0,1108.875,Algorithms
netsuite,Tier_C,2,100.0,0.0,0.0,70.5,70.5,25.0,25.0,1751.0,224.0,Database
newsbreak,Tier_C,2,0.0,100.0,0.0,57.099999999999994,57.099999999999994,50.0,50.0,22736.0,1080.0,Algorithms
nextdoor,Tier_C,4,0.0,50.0,50.0,52.47500000000001,49.099999999999994,46.875,43.75,15545.0,1103.75,Algorithms
nextjump,Tier_C,1,100.0,0.0,0.0,69.9,69.9,12.5,12.5,712.0,192.0,Algorithms
